,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,1962-10-04,83.48392658465379,49.855219911053766,118.85393819108683,82.3,1962-10-03
1,1962-10-05,84.09775056135317,53.40903643167866,115.42441266993033,85.9,1962-10-03
2,1962-10-06,84.70802957699105,55.773365868148886,118.7413963932272,84.1,1962-10-03
3,1962-10-07,85.2655251751957,53.75733906978117,116.2536619819808,85.4,1962-10-03
4,1962-10-08,85.66570315634455,53.870904685191924,119.25511573764405,87.5,1962-10-03
5,1962-10-09,85.87233178323216,51.59439621274979,119.13163006105161,86.8,1962-10-03
6,1962-10-10,85.91714296804261,57.284064898234725,120.48956025582861,93.2,1962-10-03
7,1962-10-11,83.81732773740666,52.34357946877148,115.45153274253651,93.9,1962-10-10
8,1962-10-12,83.63342078505781,50.8634130740924,117.49642473146987,93.9,1962-10-10
9,1962-10-13,83.40056619704792,50.26339396569552,117.4984355868179,95.5,1962-10-10
10,1962-10-14,83.12762038463791,48.904230151043535,116.51360614573782,96.0,1962-10-10
11,1962-10-15,82.84199548373523,48.88672708558584,114.82316494444127,94.8,1962-10-10
12,1962-10-16,82.5644332960443,48.85279137365138,116.43883329238876,91.7,1962-10-10
13,1962-10-17,82.28443436258264,48.036814788859616,114.23415765655596,91.2,1962-10-10
14,1962-10-18,82.96189985290849,49.363871971583585,116.32454642729914,89.4,1962-10-17
15,1962-10-19,82.60576238720039,50.276318556875104,115.25633770471691,87.9,1962-10-17
16,1962-10-20,82.2353353155731,47.19495703237601,117.53604282882416,88.4,1962-10-17
17,1962-10-21,81.90464822029294,49.78627616431866,115.01946247493484,87.6,1962-10-17
18,1962-10-22,81.64760648417537,49.857560729119726,118.68483817490825,85.3,1962-10-17
19,1962-10-23,81.46265792196745,50.18430422126889,111.94293625235908,84.8,1962-10-17
20,1962-10-24,81.3420624259637,47.91562888796565,113.3081005945438,89.8,1962-10-17
21,1962-10-25,82.12510270537359,51.972856733169635,115.86055439434593,87.1,1962-10-24
22,1962-10-26,82.2277720041947,48.22798868020903,113.38099531862079,87.4,1962-10-24
23,1962-10-27,82.48323835479316,50.5470983974426,116.33984240781088,86.9,1962-10-24
24,1962-10-28,82.84059398885418,48.02809410588762,117.30724108115622,83.0,1962-10-24
25,1962-10-29,83.20039397138063,50.01271823837184,117.09149014194496,80.2,1962-10-24
26,1962-10-30,83.48177363859884,52.417788176634424,117.89090266756988,83.0,1962-10-24
27,1962-10-31,83.67117086191831,51.55304127137295,116.97410500635593,81.5,1962-10-24
28,1962-11-01,84.12519057592377,50.583084520688146,115.94591711769795,80.9,1962-10-31
29,1962-11-02,84.2546825337208,50.7372822542861,115.98315516004041,80.9,1962-10-31
30,1962-11-03,84.36261616859309,50.821580856455014,116.31097016156063,81.1,1962-10-31
31,1962-11-04,84.41773059633067,50.968966736147486,114.327626430154,82.5,1962-10-31
32,1962-11-05,84.40090325550662,54.03831770729809,115.56870982332018,82.5,1962-10-31
33,1962-11-06,84.32029349891893,52.83196013529935,117.54821003283733,83.7,1962-10-31
34,1962-11-07,84.19148049956745,54.386001504013805,116.59425982679547,85.3,1962-10-31
35,1962-11-08,83.98724568580916,51.111104897713,117.92358317751561,86.1,1962-11-07
36,1962-11-09,83.76094546683731,50.352619886452096,113.68408326652217,86.4,1962-11-07
37,1962-11-10,83.49081306350969,51.055179278290645,117.49807850554672,87.1,1962-11-07
38,1962-11-11,83.20717293237414,52.20728822144924,115.19445355893869,87.7,1962-11-07
39,1962-11-12,82.93297870587331,48.889054201270895,114.83486609130422,89.0,1962-11-07
40,1962-11-13,82.65644798831838,48.059869048600596,114.6837465581319,93.9,1962-11-07
41,1962-11-14,82.3429052472078,49.59676596318649,113.45882825376299,99.5,1962-11-07
42,1962-11-15,82.7757571055806,49.89151235096679,114.32274189391057,96.2,1962-11-14
43,1962-11-16,82.3828476914561,46.4169313372146,114.32946081744274,100.1,1962-11-14
44,1962-11-17,82.03376403404798,49.17097690898569,113.12472186592053,95.2,1962-11-14
45,1962-11-18,81.76598510913794,49.185090862042436,111.98871082568377,89.4,1962-11-14
46,1962-11-19,81.57609415731281,51.396003622709046,116.92177830733934,89.7,1962-11-14
47,1962-11-20,81.4547017897055,50.73288273542506,114.1385983545336,87.4,1962-11-14
48,1962-11-21,81.42762064449568,47.64216510957781,114.06273653317425,81.6,1962-11-14
49,1962-11-22,82.23343122876423,53.391669386077865,117.12811122606136,79.9,1962-11-21
50,1962-11-23,82.50666580369752,50.178948297129224,115.45305743212649,77.8,1962-11-21
51,1962-11-24,82.88531932350132,49.75441879863646,115.84398274427254,81.2,1962-11-21
52,1962-11-25,83.26599673533231,50.619893049266295,115.61459835690727,78.3,1962-11-21
53,1962-11-26,83.56503737096413,52.59480180213171,117.15306255492114,77.5,1962-11-21
54,1962-11-27,83.76902533198857,48.861486105310455,114.70604944738027,76.0,1962-11-21
55,1962-11-28,83.91895239512695,50.21667322916252,119.37892317602129,75.5,1962-11-21
56,1962-11-29,83.71100746954585,52.51098734591314,115.06225204162064,76.3,1962-11-28
57,1962-11-30,83.82916538141572,49.18969794065832,116.98930748319893,78.0,1962-11-28
58,1962-12-01,83.89275851245075,54.07721158627165,117.45342253294373,78.0,1962-11-28
59,1962-12-02,83.88325196686023,51.770821906284354,116.66015498509296,82.7,1962-11-28
60,1962-12-03,83.81003972892573,52.03535278890842,117.60126394982677,84.0,1962-11-28
61,1962-12-04,83.68819977377805,49.94248490104748,114.90745917687099,83.5,1962-11-28
62,1962-12-05,83.51637441946936,50.116409772565426,114.65127449252903,83.2,1962-11-28
63,1962-12-06,83.39545118141281,49.10507329638445,117.059080150463,84.2,1962-12-05
64,1962-12-07,83.09752342060493,51.51815735006951,117.31981746039965,87.6,1962-12-05
65,1962-12-08,82.78533548248969,51.324149615171045,113.98348517591145,85.9,1962-12-05
66,1962-12-09,82.48861879793542,50.52502235957859,116.47708090370111,84.1,1962-12-05
67,1962-12-10,82.19615782971864,48.030135910460594,115.02927304046864,85.1,1962-12-05
68,1962-12-11,81.86924043115621,48.229522720009214,113.19906653980111,79.1,1962-12-05
69,1962-12-12,81.49057562255436,50.215149994694144,114.0388371087748,77.5,1962-12-05
70,1962-12-13,80.94170469974914,46.37946321084502,115.46337332741224,78.1,1962-12-12
71,1962-12-14,80.6284807632082,49.08217205312068,113.22951416918275,77.6,1962-12-12
72,1962-12-15,80.38495521609597,47.22539564968178,113.26414808720169,77.3,1962-12-12
73,1962-12-16,80.2088094903059,46.84085305095636,110.49100165368327,77.3,1962-12-12
74,1962-12-17,80.09282596333682,48.16637948712044,110.5705527308761,79.7,1962-12-12
75,1962-12-18,80.05950749279319,47.936283389065906,110.81055610222505,84.9,1962-12-12
76,1962-12-19,80.15353680617379,47.83677490714784,112.20876941484495,85.5,1962-12-12
77,1962-12-20,80.48654654839738,47.068560722835656,114.21154699783662,87.8,1962-12-19
78,1962-12-21,80.8101859706436,49.69190082048751,110.49803760759742,86.2,1962-12-19
79,1962-12-22,81.13863320079308,47.57256589615546,114.2417108154109,83.2,1962-12-19
80,1962-12-23,81.39720644788588,48.86145242446336,114.47417465361244,80.6,1962-12-19
81,1962-12-24,81.57259511324028,48.012230276855,113.11452356969193,80.4,1962-12-19
82,1962-12-25,81.70036343657635,48.059865264053556,114.4549352892559,79.0,1962-12-19
83,1962-12-26,81.81397771661624,48.46675245031406,110.803003840668,77.7,1962-12-19
84,1962-12-27,81.89884238704201,47.871569526203444,115.13147200947765,76.3,1962-12-26
85,1962-12-28,81.94602436043844,50.88270105256541,113.86676388885355,74.9,1962-12-26
86,1962-12-29,81.92869165734973,47.881727949465976,115.67535026733879,75.5,1962-12-26
87,1962-12-30,81.85280666879822,50.513234812924146,116.19006774262166,76.1,1962-12-26
88,1962-12-31,81.73150412672247,50.04548283296963,117.48850725542732,76.7,1962-12-26
89,1963-01-01,81.56601075349603,48.93631256324971,115.1036064192092,77.2,1962-12-26
90,1963-01-02,81.35121772450483,49.320046984716555,113.75957846602174,77.8,1962-12-26
91,1963-01-03,80.25037678373124,48.891730305333525,114.47961608175112,78.4,1963-01-02
92,1963-01-04,79.98932375364845,45.619742968923546,111.14924226936954,79.9,1963-01-02
93,1963-01-05,79.73330474295622,47.464192575459776,112.18981548246549,78.6,1963-01-02
94,1963-01-06,79.4780030489778,46.65446314624857,109.33201985685436,77.8,1963-01-02
95,1963-01-07,79.20313873341027,44.509874131042004,110.16046583320873,78.1,1963-01-02
96,1963-01-08,78.901400350519,45.92801948615356,113.85813992390887,77.5,1963-01-02
97,1963-01-09,78.59585961632168,45.12010593521915,108.3995178292415,79.3,1963-01-02
98,1963-01-10,78.15429644591516,46.73615051738178,110.99986016332049,81.1,1963-01-09
99,1963-01-11,77.92289887628263,48.50008247327606,111.88369250877753,82.5,1963-01-09
100,1963-01-12,77.74985415560961,47.727706365689684,109.75626074475502,79.5,1963-01-09
101,1963-01-13,77.62982868950145,43.51263097879701,110.52021895161899,80.0,1963-01-09
102,1963-01-14,77.58494416698238,45.74130549190821,109.68806077483134,86.8,1963-01-09
103,1963-01-15,77.65647916740713,48.21001104811655,110.96635244125358,85.8,1963-01-09
104,1963-01-16,77.8601774557975,46.49934924405443,110.63085189974151,83.0,1963-01-09
105,1963-01-17,77.59769879815437,45.88103997224812,109.64028552847496,83.3,1963-01-16
106,1963-01-18,78.59896451720941,47.77325240218565,111.18796596669308,81.5,1963-01-16
107,1963-01-19,79.41265431039301,47.119731363962174,109.66824310305329,78.6,1963-01-16
108,1963-01-20,80.03124330095798,48.94857787069744,112.27634067124889,78.6,1963-01-16
109,1963-01-21,80.56372606926408,47.24609701186942,111.2839794310668,76.8,1963-01-16
110,1963-01-22,81.08411773136883,49.49707590519997,113.48898807666222,75.9,1963-01-16
111,1963-01-23,81.56044446159792,49.38206650385963,113.85465297500448,74.8,1963-01-16
112,1963-01-24,81.46760073433313,51.70320456010164,114.39269898966354,74.0,1963-01-23
113,1963-01-25,81.70725919558107,48.45715274456407,112.2893633714796,74.5,1963-01-23
114,1963-01-26,81.7931639976926,46.478166729378565,113.66787531495717,74.3,1963-01-23
115,1963-01-27,81.70259866746748,53.15672477830929,111.81517245579897,81.5,1963-01-23
116,1963-01-28,81.36491506257647,48.83937805840704,112.83207796501958,81.0,1963-01-23
117,1963-01-29,80.74126700784421,46.50325927763388,112.60815031702779,79.7,1963-01-23
